  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD              STIME
  501   537     1     4004   0   4  0 426918432   6704 -      S                   0 ??         0:03.44 /usr/sbin/cfpref 10:07PM
    0   538     1     4004   0   4  0 426916080   1632 -      Ss                  0 ??         0:00.04 /usr/libexec/app 10:07PM
  262   539     1     4004   0   4  0 426952560  10448 -      S                   0 ??         0:00.41 /System/Library/ 10:07PM
  262   540     1     4004   0   4  0 426951120   5888 -      S                   0 ??         0:00.05 /usr/libexec/sec 10:07PM
  262   541     1     4004   0   4  0 426916544   2880 -      S                   0 ??         0:00.04 /usr/sbin/cfpref 10:07PM
    0   542     1     4004   0   4  0 426916576   2480 -      Ss                  0 ??         0:00.05 /System/Library/ 10:07PM
  262   543     1     4004   0   4  0 426952368   6336 -      S                   0 ??         0:00.08 /usr/libexec/tru 10:07PM
  501   544     1 40004004   0  31  0 426953296  21888 -      S                   0 ??         0:04.72 /usr/libexec/Use 10:07PM
  247   545     1     4004   0   4  0 426916720   5952 -      Ss                  0 ??         0:00.31 /usr/libexec/gam 10:07PM
  260   546     1     4004   0   4  0 426916352   6464 -      Ss                  0 ??         0:00.12 /usr/libexec/sel 10:07PM
  501   548     1     4004   0  55  0 426954944  31136 -      S                   0 ??         0:00.55 /System/Library/ 10:07PM
  501   549     1     4004   0  46  0 411668192  42624 -      S                   0 ??         0:00.24 /System/Library/ 10:07PM
  501   550     1     4004   0  55  0 410973648  15008 -      S                   0 ??         0:00.21 /usr/sbin/univer 10:07PM
  501   551     1     4004   0   4  0 426960784  31184 -      S                   0 ??         0:00.42 /usr/libexec/kno 10:07PM
  501   552     1     4004   0  31  0 426967152  16704 -      S                   0 ??         0:02.71 /System/Library/ 10:07PM
  501   553     1     4004   0  48  0 411654720  27056 -      S                   0 ??         0:07.42 /System/Library/ 10:07PM
  501   554     1     4004   0  37  0 426927312   9680 -      S                   0 ??         0:00.11 /usr/libexec/pbo 10:07PM
    0   555     1     4004   0   4  0 426952816  14960 -      Ss                  0 ??         0:00.31 /usr/libexec/fin 10:07PM
